Visit ID,BDM Code,BDM Name,Outlet Code,Outlet Name,Visit Date,Check In,Duration (mins),Purpose,Remarks
V00001,BDM012,Yuvaraj S,OA0152,Meenakshi Gadgets,05/05/2026,10:31,30,Collection,
V00002,BDM006,Jegan R,OA0662,Vinayaga Mobile,2026-07-04,14:11,,followup,owner not available
V00003,BDM007,Mohan Raj,OA0630,Anandha Telecom,2026-06-16,17:00,20,Routine visit,
V00004,BDM007,Mohan Raj,OA0452,Sri Balaji Enterprises,2026-05-28,13:02,25,Routine visit,discussed scheme
V00005,BDM011,Ilango M,OA0467,Devi Enterprises,15/05/2026,12:57,45,Routine visit,will order next week
V00006,BDM002,Prakash M,OA0528,Mobile World Infotech,2026-06-15,10:32,5,Complaint,
V00007,BDM011,Ilango M,OA0560,Sri Krishna Communications,2026-05-13,10:17,8,Follow up,discussed scheme
V00008,BDM008,Sathya N,OA0527,,2026-05-21,10:25,,New onboarding,shop closed
V00009,BDM004,Ashok Kumar,OA0490,Amman Mobiles,10/07/2026,10:55,20,Stock check,display not as per norms
V00010,BDM012,Yuvaraj S,OA0808,Sakthi Communications - Branch,06/06/2026,13:16,20,Collection,
V00011,BDM009,Gowtham S,OA0254,Vinayaga Infotech,15/05/2026,11:22,25,Follow up,stock displayed
V00012,BDM003,Vetri S,OA0050,Big C Electronics,18/05/2026,12:06,,Collection,
V00013,BDM008,Sathya N,OA0120,City Gadgets,25/05/2026,16:08,15,,stock displayed
V00014,BDM010,Praveen K,OA0818,Selvam Agencies ,2026-06-24,12:00,30,Routine visit,asked for better margin
V00015,BDM008,Sathya N,OA0014,Ganesh Cellpoint,23/07/2026,14:54,5,New onboarding,display not as per norms
V00016,BDM005,Dhanush P,OA0738,Selvam Mobiles,12/06/2026,16:04,15,Collection,
V00017,BDM006,Jegan R,OA0423,Bharath Electronics,21/05/2026,11:06,25,Complaint,stock displayed
V00018,BDM011,Ilango M,OA0587,Big C Communications,14/07/2026,11:18,25,Routine visit,will order next week
V00019,BDM012,Yuvaraj S,OA0026,Meenakshi Infotech,05/05/2026,15:18,,New onboarding,asked for better margin
V00020,BDM002,Prakash M,OA0664,New Star Traders,22/05/2026,11:20,25,Collection,asked for better margin
V00021,BDM012,Yuvaraj S,OA0208,Universal Mobile,20/05/2026,14:59,20,Collection,display not as per norms
V00022,BDM004,Ashok Kumar,OA0168,Jeyam Traders,2026-05-02,10:21,30,Stock check,shop closed
V00023,BDM001,Sundar R,OA0483,Ram Gadgets,13/07/2026,15:16,30,followup,
V00024,BDM005,Dhanush P,OA0816,MUTHU AGENCIES,2026-06-18,14:17,10,Order,discussed scheme
V00025,BDM004,Ashok Kumar,OA0814,Poorvika Traders ,02/07/2026,12:13,20,Order,asked for better margin
V00026,BDM004,Ashok Kumar,OA0286,Poorvika Telecom,26/06/2026,16:52,,Routine visit,collection pending
V00027,BDM005,Dhanush P,OA0757,Universal Enterprises,10/07/2026,15:46,5,New onboarding,discussed scheme
V00028,BDM003,Vetri S,OA0334,Bharath Electronics,18/07/2026,15:11,5,Routine visit,collection pending
V00029,BDM011,Ilango M,OA0172,iStore Electronics,02/07/2026,11:44,30,Routine visit,
V00030,BDM006,Jegan R,OA0124,,13/05/2026,13:23,20,New onboarding,owner not available
V00031,BDM006,Jegan R,OA0044,Muthu Mobiles,2026-06-09,11:24,,Follow up,
V00032,BDM004,Ashok Kumar,OA0545,Vasanth Agencies,24/05/2026,12:13,5,,discussed scheme
V00033,BDM004,Ashok Kumar,OA0032,Modern Cellpoint,28/07/2026,15:06,15,followup,display not as per norms
V00034,BDM004,Ashok Kumar,OA0066,Universal Traders,2026-05-22,15:15,45,Complaint,asked for better margin
V00035,BDM001,Sundar R,OA0029,Lakshmi Traders,23/06/2026,13:28,5,followup,discussed scheme
